,codigo,bairro,valor,condominio+iptu,area,banheiros,suites,garagem,portao eletronico,DCE,salas,total de uni.,varanda,piscinas,posicao,descricao da vaga,unidade por andar,sol da manha,playground,circuito de tv,quadra de esporte,jardins,elevador,academia,hall social,sauna,salao de festas,quartos,portaria permanente
179,640456,mata da praia,299000.0,371.5,70.0,2.0,,1.0,1,0,1,12,1,0, Frente, livre e coberta ,4,1,0,0,0,0,0,0,0,0,0,2,0
262,511757,bento ferreira,345000.0,378.27,65.0,1.0,0.0,1.0,1,1,1,28,1,0, Fundo, livre e coberta no sl ,4,0,0,1,0,1,1,0,1,1,1,2,0
739,465949,bento ferreira,680000.0,741.63,247.0,1.0,1.0,2.0,1,1,1,8,0,0, Frente, 1 vaga coberta e 01 descoberta ,1,0,0,0,0,0,1,0,1,0,0,4,0
252,101579,jardim da penha,336000.0,330.0,78.0,1.0,0.0,1.0,1,1,1,0,0,0, Frente, livre ,0,1,0,0,0,0,0,0,0,0,0,2,0
906,384903,jardim camburi,980000.0,854.51,168.0,4.0,2.0,3.0,1,0,2,32,2,1, Fundo," cobertas, privativas e livres ",4,1,1,1,0,0,1,0,1,1,1,4,1
1279,514598,aribiri,200000.0,0.0,120.0,1.0,2.0,0.0,1,1,1,3,0,0, Frente, ,1,0,0,0,0,0,0,0,1,0,0,3,0
770,650931,jardim da penha,699839.0,0.0,107.0,2.0,1.0,2.0,1,0,1,40,2,1, Frente," cobertas, privativas e solidarias ",4,0,1,1,0,1,1,0,1,1,1,3,1
782,71172,jardim da penha,720000.0,500.0,117.0,1.0,2.0,2.0,1,1,1,10,1,0, Frente, cobertas ,2,0,0,1,0,1,1,0,1,1,1,3,0
99,496886,bento ferreira,260000.0,380.0,47.54,1.0,0.0,1.0,1,0,1,66,1,1, Frente, livre ,6,1,0,0,0,1,1,0,1,1,1,1,0
294,584731,praia do canto,360000.0,501.18,78.35,1.0,0.0,1.0,0,1,1,0,1,0, Frente, privativo e coberta ,0,1,0,0,1,1,1,0,0,0,0,2,1
1323,152453,praia da costa,300000.0,390.0,40.0,1.0,1.0,1.0,1,0,1,84,1,1, Lateral, coberta e rotativa ,6,1,0,1,0,0,1,0,1,0,0,1,1
514,650922,enseada do suá,470000.0,503.5,72.0,1.0,1.0,1.0,1,0,1,144,1,1, Frente," privativa, livre ",6,1,1,1,1,1,1,1,1,1,1,2,1
1233,458316,colina de laranjeiras,260800.0,214.17,62.7,1.0,1.0,2.0,1,0,1,96,1,1, Frente, priv./descoberta nr. 191/191a ,8,1,1,1,1,1,1,1,1,1,1,2,1
844,590992,praia do canto,830000.0,1275.0,131.0,2.0,1.0,1.0,1,0,1,24,1,0, Frente, privativa e coberta ,2,1,0,1,0,1,1,0,1,0,1,3,1
1226,631081,praia da baleia,253000.0,299.2,130.0,1.0,1.0,1.0,1,0,1,20,1,1, Fundo, privativa / livre ,4,1,1,1,1,1,1,1,1,0,1,3,1
969,615878,praia do canto,1300000.0,1575.0,142.0,1.0,3.0,3.0,1,1,1,30,3,1, Frente, privativa / coberta ,2,1,1,1,0,0,1,0,0,1,1,3,1
1222,622108,hélio ferraz,250000.0,368.0,63.0,1.0,1.0,1.0,1,0,1,20,1,1, Frente, privativa / livre  ,4,0,1,1,1,1,1,1,1,1,1,2,1
650,594452,jardim camburi,589000.0,558.91,92.0,1.0,2.0,2.0,1,0,1,28,1,1, Lateral, privativa / solidária / coberta ,4,0,0,0,0,1,1,0,1,0,1,3,1
536,658560,santa lúcia,485000.0,528.76,87.0,3.0,1.0,1.0,1,0,1,78,1,1, Fundo, livre e coberta ,6,0,0,1,0,1,1,0,1,1,1,3,1
190,599979,jardim camburi,300000.0,310.0,63.0,2.0,1.0,1.0,1,0,1,30,1,0, Frente, privativa ,6,1,0,1,0,1,1,0,1,0,1,2,1
1000,651534,praia do canto,1580000.0,1562.26,240.0,1.0,3.0,3.0,1,1,1,22,1,1, Frente, privativa. ,2,0,1,1,1,0,1,0,1,0,1,4,1
1129,596762,jardim atlântico,140000.0,242.87,51.67,1.0,1.0,1.0,1,0,1,288,1,1, Fundo, privativa descoberta ,8,0,1,0,1,0,1,0,0,1,1,2,1
846,331860,jardim camburi,830000.0,870.0,140.0,1.0,1.0,2.0,1,0,1,7,1,1, Frente, livres e cobertas ,1,1,0,0,0,1,1,0,1,0,0,4,0
685,463920,jardim da penha,624000.0,574.0,110.0,3.0,1.0,2.0,1,1,2,12,1,0, Lateral," livre, privativa e coberta. ",4,0,0,1,0,1,1,0,0,0,0,3,0
1488,647465,praia da costa,849300.0,2484.61,158.7,1.0,2.0,2.0,1,1,2,96,2,1, Fundo, privativa e coberta ,6,0,1,1,1,1,1,1,1,1,1,3,1
1148,601921,chácara parreiral,150000.0,245.0,46.67,1.0,,1.0,1,0,1,264,1,1, Lateral, descoberta ,6,1,1,1,1,1,1,1,0,1,1,2,1
132,616093,jardim da penha,275000.0,0.0,75.0,1.0,1.0,1.0,1,0,1,12,1,0, Frente, rotativa ,4,0,0,0,0,0,0,0,0,0,0,2,0
1199,631412,morada de laranjeiras,210000.0,254.8,50.87,1.0,,1.0,0,0,1,60,1,1, Fundo, descoberta ,6,1,1,1,0,0,1,1,1,1,1,2,1
